,user_id,isbn,rating
1,11676,0002005018,8.0
12,110912,0374157065,10.0
15,197659,0374157065,9.0
17,11676,0399135782,9.0
19,46398,0399135782,9.0
29,230522,0399135782,7.0
31,245827,0399135782,9.0
34,52614,0425176428,8.0
35,11676,0671870432,8.0
48,7346,0440234743,9.0
52,11676,0440234743,9.0
55,13552,0440234743,8.0
65,31315,0440234743,10.0
85,70666,0440234743,7.0
88,75819,0440234743,7.0
91,78973,0440234743,7.0
105,101209,0440234743,7.0
107,105979,0440234743,5.0
109,107784,0440234743,9.0
125,125519,0440234743,8.0
148,159506,0440234743,8.0
165,193898,0440234743,9.0
177,214786,0440234743,9.0
180,216683,0440234743,9.0
186,229011,0440234743,7.0
187,232131,0440234743,7.0
188,232945,0440234743,9.0
191,240567,0440234743,5.0
193,241666,0440234743,8.0
194,241980,0440234743,9.0
196,244627,0440234743,10.0
202,258534,0440234743,8.0
219,6242,0452264464,5.0
222,11676,0452264464,8.0
231,36907,0452264464,10.0
237,63956,0452264464,9.0
244,92810,0452264464,7.0
246,95932,0452264464,10.0
248,100459,0452264464,7.0
251,102359,0452264464,10.0
255,105517,0452264464,1.0
261,129716,0452264464,10.0
266,148744,0452264464,9.0
270,165319,0452264464,5.0
297,11676,0609804618,7.0
300,98758,0609804618,9.0
302,146348,0609804618,8.0
303,159506,0609804618,7.0
309,11676,1841721522,10.0
342,11676,0971880107,6.0
344,11993,0971880107,2.0
373,28591,0971880107,6.0
381,31826,0971880107,1.0
401,37950,0971880107,3.0
402,38023,0971880107,9.0
420,46398,0971880107,4.0
439,55187,0971880107,6.0
441,56399,0971880107,5.0
459,65258,0971880107,6.0
511,88693,0971880107,4.0
524,93047,0971880107,6.0
527,94853,0971880107,6.0
558,114988,0971880107,1.0
587,129851,0971880107,1.0
596,132492,0971880107,1.0
602,136139,0971880107,2.0
605,138844,0971880107,6.0
658,168047,0971880107,1.0
695,187145,0971880107,6.0
696,187256,0971880107,7.0
771,224525,0971880107,10.0
780,229329,0971880107,2.0
893,271448,0971880107,2.0
925,70594,0345402871,7.0
926,70666,0345402871,5.0
943,164323,0345402871,8.0
955,214786,0345402871,9.0
957,217318,0345402871,5.0
958,227705,0345402871,9.0
